"Component","Version","Latest version","CVE","Matching type","CVSS","CVE publication date","Object compilation date","Object","Object full path","Object SHA1","CVSS3","CVSS vector (v2)","CVSS vector (v3)","Distribution package","CVSS (Distribution)","CVSS3 (Distribution)","Triage vectors","Note type","Note reason","Vulnerability URL"
"expat","2.0.1","2.2.9","CVE-2018-20843","Exact match","7.8","2019-06-24T17:15:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:C","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-20843"
"expat","2.0.1","2.2.9","CVE-2016-5300","Exact match","7.8","2016-06-16T18:59:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:C","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-5300"
"expat","2.0.1","2.2.9","CVE-2016-0718","Exact match","7.5","2016-05-26T16:59:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","9.8","AV:N/AC:L/Au:N:/C:P/I:P/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-0718"
"expat","2.0.1","2.2.9","CVE-2016-4472","Exact match","6.8","2016-06-30T17:59:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","8.1","AV:N/AC:M/Au:N:/C:P/I:P/A:P","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-4472"
"expat","2.0.1","2.2.9","CVE-2015-1283","Exact match","6.8","2015-07-23T00:59:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","0.0","AV:N/AC:M/Au:N:/C:P/I:P/A:P","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2015-1283"
"expat","2.0.1","2.2.9","CVE-2013-0340","Exact match","6.8","2014-01-21T18:55:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","0.0","AV:N/AC:M/Au:N:/C:P/I:P/A:P","","","","","","demoted","Unsafe default parameters","http://nvd.nist.gov/vuln/detail/CVE-2013-0340"
"expat","2.0.1","2.2.9","CVE-2019-15903","Exact match","5.0","2019-09-04T06:15:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-15903"
"expat","2.0.1","2.2.9","CVE-2017-9233","Exact match","5.0","2017-07-25T20:29:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-9233"
"expat","2.0.1","2.2.9","CVE-2012-1148","Exact match","5.0","2012-07-03T19:55:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","0.0","AV:N/AC:L/Au:N:/C:N/I:N/A:P","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2012-1148"
"expat","2.0.1","2.2.9","CVE-2009-3720","Exact match","5.0","2009-11-03T16:30:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","0.0","AV:N/AC:L/Au:N:/C:N/I:N/A:P","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2009-3720"
"expat","2.0.1","2.2.9","CVE-2009-3560","Exact match","5.0","2009-12-04T21:30:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","0.0","AV:N/AC:L/Au:N:/C:N/I:N/A:P","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2009-3560"
"expat","2.0.1","2.2.9","CVE-2012-6702","Exact match","4.3","2016-06-16T18:59:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","5.9","AV:N/AC:M/Au:N:/C:N/I:P/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2012-6702"
"expat","2.0.1","2.2.9","CVE-2012-1147","Exact match","4.3","2012-07-03T19:55:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","0.0","AV:N/AC:M/Au:N:/C:N/I:N/A:P","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2012-1147"
"expat","2.0.1","2.2.9","CVE-2012-0876","Exact match","4.3","2012-07-03T19:55:00Z","2013-07-23T12:55:34Z","pocoxml64.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:pocoxml64.dll","70d20019a337476d9cdf4d0bbe83880cef873680","0.0","AV:N/AC:M/Au:N:/C:N/I:N/A:P","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2012-0876"
"libxml2","","2.9.10","CVE-2017-15412","Exact match (timestamp)","6.8","2018-08-28T19:29:00Z","2018-08-20T19:25:22Z","libxml2.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libxml2.dll","c90368b92225264152e6111a691cdeac031a1fd7","8.8","AV:N/AC:M/Au:N:/C:P/I:P/A:P","AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-15412"
"libxml2","","2.9.10","CVE-2020-7595","Exact match (timestamp)","5.0","2020-01-21T23:15:00Z","2018-08-20T19:25:22Z","libxml2.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libxml2.dll","c90368b92225264152e6111a691cdeac031a1fd7","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2020-7595"
"libxml2","","2.9.10","CVE-2019-20388","Exact match (timestamp)","5.0","2020-01-21T23:15:00Z","2018-08-20T19:25:22Z","libxml2.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libxml2.dll","c90368b92225264152e6111a691cdeac031a1fd7","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-20388"
"libxml2","","2.9.10","CVE-2019-19956","Exact match (timestamp)","5.0","2019-12-24T16:15:00Z","2018-08-20T19:25:22Z","libxml2.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libxml2.dll","c90368b92225264152e6111a691cdeac031a1fd7","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-19956"
"lua","5.1.4","5.3.5","CVE-2014-5461","Exact match","5.0","2014-09-04T17:55:00Z","2019-11-18T23:00:02Z","devicexplorer.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:devicexplorer.exe","13123a017cc56dc1f432fce4a3721cf9ed08d6da","0.0","AV:N/AC:L/Au:N:/C:N/I:N/A:P","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2014-5461"
"openssl","1.0.2j","1.1.1g","CVE-2018-0732","Exact match","5.0","2018-06-12T13:29:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-0732"
"openssl","1.0.2j","1.1.1g","CVE-2018-0732","Exact match","5.0","2018-06-12T13:29:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-0732"
"openssl","1.0.2j","1.1.1g","CVE-2017-3731","Exact match","5.0","2017-05-04T19:29:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-3731"
"openssl","1.0.2j","1.1.1g","CVE-2017-3731","Exact match","5.0","2017-05-04T19:29:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-3731"
"openssl","1.0.2j","1.1.1g","CVE-2019-1551","Exact match","5.0","2019-12-06T18:15:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","5.3","AV:N/AC:L/Au:N:/C:P/I:N/A:N","AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-1551"
"openssl","1.0.2j","1.1.1g","CVE-2019-1551","Exact match","5.0","2019-12-06T18:15:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","5.3","AV:N/AC:L/Au:N:/C:P/I:N/A:N","AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-1551"
"openssl","1.0.2j","1.1.1g","CVE-2017-3735","Exact match","5.0","2017-08-28T19:29:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","5.3","AV:N/AC:L/Au:N:/C:N/I:P/A:N","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-3735"
"openssl","1.0.2j","1.1.1g","CVE-2017-3735","Exact match","5.0","2017-08-28T19:29:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","5.3","AV:N/AC:L/Au:N:/C:N/I:P/A:N","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-3735"
"openssl","1.0.2j","1.1.1g","CVE-2018-0739","Exact match","4.3","2018-03-27T21:29:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","6.5","AV:N/AC:M/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-0739"
"openssl","1.0.2j","1.1.1g","CVE-2018-0739","Exact match","4.3","2018-03-27T21:29:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","6.5","AV:N/AC:M/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-0739"
"openssl","1.0.2j","1.1.1g","CVE-2019-1559","Exact match","4.3","2019-02-27T23:29:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-1559"
"openssl","1.0.2j","1.1.1g","CVE-2019-1559","Exact match","4.3","2019-02-27T23:29:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-1559"
"openssl","1.0.2j","1.1.1g","CVE-2018-0737","Exact match","4.3","2018-04-16T18:29:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-0737"
"openssl","1.0.2j","1.1.1g","CVE-2018-0737","Exact match","4.3","2018-04-16T18:29:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-0737"
"openssl","1.0.2j","1.1.1g","CVE-2018-0734","Exact match","4.3","2018-10-30T12:29:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-0734"
"openssl","1.0.2j","1.1.1g","CVE-2018-0734","Exact match","4.3","2018-10-30T12:29:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-0734"
"openssl","1.0.2j","1.1.1g","CVE-2017-3738","Exact match","4.3","2017-12-07T16:29:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-3738"
"openssl","1.0.2j","1.1.1g","CVE-2017-3738","Exact match","4.3","2017-12-07T16:29:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-3738"
"openssl","1.0.2j","1.1.1g","CVE-2017-3737","Exact match","4.3","2017-12-07T16:29:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-3737"
"openssl","1.0.2j","1.1.1g","CVE-2017-3737","Exact match","4.3","2017-12-07T16:29:00Z","2018-08-20T12:15:56Z","ssleay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:ssleay32.dll","1d7474b24a00281f029addf543ef35c01910824b","5.9","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-3737"
"openssl","1.0.2j","1.1.1g","CVE-2019-1563","Exact match","4.3","2019-09-10T17:15:00Z","2018-08-20T12:15:42Z","libeay32.dll","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/Data1.cab:libeay32.dll","4d72c6085dfd27536d58263ba30b606bbd197dbc","3.7","AV:N/AC:M/Au:N:/C:P/I:N/A:N","AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-1563"
